DATE,DEXMXUS
1994-08-02,3.386
1994-08-03,3.380
1994-08-04,3.380
1994-08-05,3.381
1994-08-08,3.387
1994-08-09,3.387
1994-08-10,3.400
1994-08-11,3.405
1994-08-12,3.402
1994-08-15,3.403
1994-08-16,3.408
1994-08-17,3.397
1994-08-18,3.380
1994-08-19,3.3765
1994-08-22,3.330
1994-08-23,3.337
1994-08-24,3.348
1994-08-25,3.358
1994-08-26,3.367
1994-08-29,3.383
1994-08-30,3.388
1994-08-31,3.389
1994-09-01,3.3925
1994-09-02,3.375
1994-09-05,.
1994-09-06,3.400
1994-09-07,3.3965
1994-09-08,3.401
1994-09-09,3.415
1994-09-12,3.413
1994-09-13,3.417
1994-09-14,3.416
1994-09-15,3.415
1994-09-16,3.398
1994-09-19,3.408
1994-09-20,3.410
1994-09-21,3.404
1994-09-22,3.409
1994-09-23,3.399
1994-09-26,3.373
1994-09-27,3.395
1994-09-28,3.407
1994-09-29,3.404
1994-09-30,3.399
1994-10-03,3.398
1994-10-04,3.413
1994-10-05,3.419
1994-10-06,3.418
1994-10-07,3.419
1994-10-10,.
1994-10-11,3.423
1994-10-12,3.424
1994-10-13,3.415
1994-10-14,3.422
1994-10-17,3.422
1994-10-18,3.425
1994-10-19,3.415
1994-10-20,3.418
1994-10-21,3.418
1994-10-24,3.419
1994-10-25,3.428
1994-10-26,3.426
1994-10-27,3.430
1994-10-28,3.434
1994-10-31,3.438
1994-11-01,3.439
1994-11-02,3.439
1994-11-03,3.437
1994-11-04,3.430
1994-11-07,3.427
1994-11-08,3.426
1994-11-09,3.429
1994-11-10,3.442
1994-11-11,.
1994-11-14,3.451
1994-11-15,3.4525
1994-11-16,3.453
1994-11-17,3.4534
1994-11-18,3.4538
1994-11-21,3.445
1994-11-22,3.448
1994-11-23,3.445
1994-11-24,.
1994-11-25,3.448
1994-11-28,3.450
1994-11-29,3.442
1994-11-30,3.440
1994-12-01,3.440
1994-12-02,3.439
1994-12-05,3.441
1994-12-06,3.447
1994-12-07,3.452
1994-12-08,3.450
1994-12-09,3.454
1994-12-12,3.450
1994-12-13,3.457
1994-12-14,3.454
1994-12-15,3.461
1994-12-16,3.463
1994-12-19,3.4662
1994-12-20,3.950
1994-12-21,3.997
1994-12-22,4.850
1994-12-23,4.700
1994-12-26,.
1994-12-27,5.750
1994-12-28,5.350
1994-12-29,5.000
1994-12-30,5.000
1995-01-02,.
1995-01-03,5.500
1995-01-04,5.550
1995-01-05,5.450
1995-01-06,5.500
1995-01-09,5.400
1995-01-10,5.800
1995-01-11,5.750
1995-01-12,5.650
1995-01-13,5.350
1995-01-16,.
1995-01-17,5.270
1995-01-18,5.290
1995-01-19,5.680
1995-01-20,5.700
1995-01-23,5.760
1995-01-24,5.800
1995-01-25,5.700
1995-01-26,5.660
1995-01-27,5.680
1995-01-30,6.500
1995-01-31,5.820
1995-02-01,5.510
1995-02-02,5.470
1995-02-03,5.360
1995-02-06,5.380
1995-02-07,5.350
1995-02-08,5.370
1995-02-09,5.550
1995-02-10,5.650
1995-02-13,5.600
1995-02-14,5.770
1995-02-15,6.030
1995-02-16,6.090
1995-02-17,5.820
1995-02-20,.
1995-02-21,5.440
1995-02-22,5.930
1995-02-23,5.690
1995-02-24,5.840
1995-02-27,6.060
1995-02-28,5.970
1995-03-01,5.960
1995-03-02,5.970
1995-03-03,6.060
1995-03-06,6.600
1995-03-07,6.900
1995-03-08,6.820
1995-03-09,7.600
1995-03-10,6.350
1995-03-13,6.470
1995-03-14,6.570
1995-03-15,6.900
1995-03-16,7.250
1995-03-17,7.210
1995-03-20,7.000
1995-03-21,7.100
1995-03-22,7.230
1995-03-23,7.100
1995-03-24,6.850
1995-03-27,6.720
1995-03-28,6.820
1995-03-29,6.810
1995-03-30,6.760
1995-03-31,6.820
1995-04-03,6.820
1995-04-04,6.620
1995-04-05,6.460
1995-04-06,6.470
1995-04-07,6.320
1995-04-10,6.400
1995-04-11,6.300
1995-04-12,6.180
1995-04-13,6.320
1995-04-14,6.320
1995-04-17,6.270
1995-04-18,6.240
1995-04-19,6.110
1995-04-20,6.120
1995-04-21,6.010
1995-04-24,5.970
1995-04-25,5.910
1995-04-26,5.830
1995-04-27,5.850
1995-04-28,6.050
1995-05-01,5.940
1995-05-02,5.960
1995-05-03,5.830
1995-05-04,5.910
1995-05-05,5.870
1995-05-08,5.880
1995-05-09,5.860
1995-05-10,5.970
1995-05-11,5.930
1995-05-12,5.950
1995-05-15,5.970
1995-05-16,5.950
1995-05-17,5.940
1995-05-18,5.940
1995-05-19,5.920
1995-05-22,5.920
1995-05-23,5.990
1995-05-24,6.060
1995-05-25,6.100
1995-05-26,6.170
1995-05-29,.
1995-05-30,6.210
1995-05-31,6.160
1995-06-01,6.250
1995-06-02,6.200
1995-06-05,6.180
1995-06-06,6.125
1995-06-07,6.150
1995-06-08,6.230
1995-06-09,6.270
1995-06-12,6.290
1995-06-13,6.200
1995-06-14,6.230
1995-06-15,6.200
1995-06-16,6.190
1995-06-19,6.225
1995-06-20,6.220
1995-06-21,6.280
1995-06-22,6.255
1995-06-23,6.250
1995-06-26,6.260
1995-06-27,6.275
1995-06-28,6.320
1995-06-29,6.270
1995-06-30,6.255
1995-07-03,6.255
1995-07-04,.
1995-07-05,6.270
1995-07-06,6.250
1995-07-07,6.170
1995-07-10,6.150
1995-07-11,6.110
1995-07-12,6.1175
1995-07-13,6.050
1995-07-14,6.0175
1995-07-17,6.000
1995-07-18,6.040
1995-07-19,6.080
1995-07-20,6.150
1995-07-21,6.100
1995-07-24,6.095
1995-07-25,6.160
1995-07-26,6.110
1995-07-27,6.095
1995-07-28,6.105
1995-07-31,6.115
1995-08-01,6.125
1995-08-02,6.120
1995-08-03,6.125
1995-08-04,6.155
1995-08-07,6.120
1995-08-08,6.145
1995-08-09,6.140
1995-08-10,6.146
1995-08-11,6.140
1995-08-14,6.145
1995-08-15,6.1525
1995-08-16,6.170
1995-08-17,6.1925
1995-08-18,6.255
1995-08-21,6.230
1995-08-22,6.2125
1995-08-23,6.280
1995-08-24,6.310
1995-08-25,6.310
1995-08-28,6.325
1995-08-29,6.3175
1995-08-30,6.2925
1995-08-31,6.300
1995-09-01,6.260
1995-09-04,.
1995-09-05,6.235
1995-09-06,6.255
1995-09-07,6.260
1995-09-08,6.280
1995-09-11,6.295
1995-09-12,6.290
1995-09-13,6.2825
1995-09-14,6.280
1995-09-15,6.2775
1995-09-18,6.300
1995-09-19,6.300
1995-09-20,6.3375
1995-09-21,6.312
1995-09-22,6.375
1995-09-25,6.390
1995-09-26,6.385
1995-09-27,6.395
1995-09-28,6.440
1995-09-29,6.385
1995-10-02,6.415
1995-10-03,6.570
1995-10-04,6.550
1995-10-05,6.540
1995-10-06,6.545
1995-10-09,.
1995-10-10,6.840
1995-10-11,6.750
1995-10-12,6.715
1995-10-13,6.740
1995-10-16,6.747
1995-10-17,6.760
1995-10-18,6.725
1995-10-19,6.690
1995-10-20,6.680
1995-10-23,6.668
1995-10-24,6.765
1995-10-25,6.790
1995-10-26,6.960
1995-10-27,7.130
1995-10-30,6.920
1995-10-31,7.150
1995-11-01,7.330
1995-11-02,7.310
1995-11-03,7.660
1995-11-06,7.350
1995-11-07,7.510
1995-11-08,7.770
1995-11-09,8.050
1995-11-10,7.730
1995-11-13,7.900
1995-11-14,8.050
1995-11-15,7.960
1995-11-16,7.870
1995-11-17,7.780
1995-11-20,7.750
1995-11-21,7.730
1995-11-22,7.750
1995-11-23,.
1995-11-24,7.700
1995-11-27,7.680
1995-11-28,7.650
1995-11-29,7.485
1995-11-30,7.550
1995-12-01,7.580
1995-12-04,7.620
1995-12-05,7.680
1995-12-06,7.675
1995-12-07,7.710
1995-12-08,7.780
1995-12-11,7.760
1995-12-12,7.770
1995-12-13,7.7975
1995-12-14,7.820
1995-12-15,7.770
1995-12-18,7.755
1995-12-19,7.690
1995-12-20,7.550
1995-12-21,7.590
1995-12-22,7.580
1995-12-25,.
1995-12-26,7.550
1995-12-27,7.635
1995-12-28,7.6875
1995-12-29,7.740
1996-01-01,.
1996-01-02,7.695
1996-01-03,7.570
1996-01-04,7.570
1996-01-05,7.570
1996-01-08,7.570
1996-01-09,7.490
1996-01-10,7.540
1996-01-11,7.540
1996-01-12,7.470
1996-01-15,.
1996-01-16,7.530
1996-01-17,7.510
1996-01-18,7.475
1996-01-19,7.435
1996-01-22,7.325
1996-01-23,7.365
1996-01-24,7.420
1996-01-25,7.395
1996-01-26,7.4325
1996-01-29,7.390
1996-01-30,7.360
1996-01-31,7.440
1996-02-01,7.414
1996-02-02,7.425
1996-02-05,7.410
1996-02-06,7.478
1996-02-07,7.4775
1996-02-08,7.485
1996-02-09,7.495
1996-02-12,7.5275
1996-02-13,7.570
1996-02-14,7.535
1996-02-15,7.505
1996-02-16,7.550
1996-02-19,.
1996-02-20,7.5825
1996-02-21,7.540
1996-02-22,7.545
1996-02-23,7.5325
1996-02-26,7.558
1996-02-27,7.540
1996-02-28,7.560
1996-02-29,7.635
1996-03-01,7.590
1996-03-04,7.575
1996-03-05,7.585
1996-03-06,7.610
1996-03-07,7.570
1996-03-08,7.591
1996-03-11,7.615
1996-03-12,7.608
1996-03-13,7.595
1996-03-14,7.560
1996-03-15,7.576
1996-03-18,7.555
1996-03-19,7.525
1996-03-20,7.532
1996-03-21,7.550
1996-03-22,7.560
1996-03-25,7.5475
1996-03-26,7.540
1996-03-27,7.550
1996-03-28,7.560
1996-03-29,7.5375
1996-04-01,7.5125
1996-04-02,7.515
1996-04-03,7.520
1996-04-04,7.535
1996-04-05,7.535
1996-04-08,7.5725
1996-04-09,7.540
1996-04-10,7.492
1996-04-11,7.485
1996-04-12,7.500
1996-04-15,7.4775
1996-04-16,7.435
1996-04-17,7.425
1996-04-18,7.440
1996-04-19,7.405
1996-04-22,7.3825
1996-04-23,7.425
1996-04-24,7.435
1996-04-25,7.385
1996-04-26,7.412
1996-04-29,7.457
1996-04-30,7.440
1996-05-01,7.415
1996-05-02,7.4725
1996-05-03,7.475
1996-05-06,7.530
1996-05-07,7.5075
1996-05-08,7.490
1996-05-09,7.475
1996-05-10,7.448
1996-05-13,7.441
1996-05-14,7.415
1996-05-15,7.450
1996-05-16,7.425
1996-05-17,7.407
1996-05-20,7.415
1996-05-21,7.395
1996-05-22,7.389
1996-05-23,7.3825
1996-05-24,7.4025
1996-05-27,.
1996-05-28,7.395
1996-05-29,7.4125
1996-05-30,7.440
1996-05-31,7.4275
1996-06-03,7.475
1996-06-04,7.431
1996-06-05,7.475
1996-06-06,7.505
1996-06-07,7.520
1996-06-10,7.525
1996-06-11,7.620
1996-06-12,7.5775
1996-06-13,7.640
1996-06-14,7.595
1996-06-17,7.585
1996-06-18,7.585
1996-06-19,7.530
1996-06-20,7.555
1996-06-21,7.578
1996-06-24,7.6475
1996-06-25,7.6075
1996-06-26,7.624
1996-06-27,7.636
1996-06-28,7.585
1996-07-01,7.6075
1996-07-02,7.591
1996-07-03,7.600
1996-07-04,.
1996-07-05,7.633
1996-07-08,7.670
1996-07-09,7.640
1996-07-10,7.625
1996-07-11,7.648
1996-07-12,7.6425
1996-07-15,7.647
1996-07-16,7.665
1996-07-17,7.657
1996-07-18,7.635
1996-07-19,7.618
1996-07-22,7.632
1996-07-23,7.607
1996-07-24,7.607
1996-07-25,7.590
1996-07-26,7.597
1996-07-29,7.517
1996-07-30,7.574
1996-07-31,7.590
1996-08-01,7.570
1996-08-02,7.542
1996-08-05,7.551
1996-08-06,7.535
1996-08-07,7.533
1996-08-08,7.5325
1996-08-09,7.520
1996-08-12,7.508
1996-08-13,7.4925
1996-08-14,7.4925
1996-08-15,7.5025
1996-08-16,7.485
1996-08-19,7.488
1996-08-20,7.477
1996-08-21,7.490
1996-08-22,7.480
1996-08-23,7.488
1996-08-26,7.502
1996-08-27,7.5175
1996-08-28,7.493
1996-08-29,7.525
1996-08-30,7.590
1996-09-02,.
1996-09-03,7.578
1996-09-04,7.561
1996-09-05,7.600
1996-09-06,7.574
1996-09-09,7.545
1996-09-10,7.545
1996-09-11,7.560
1996-09-12,7.545
1996-09-13,7.514
1996-09-16,7.515
1996-09-17,7.508
1996-09-18,7.490
1996-09-19,7.5075
1996-09-20,7.553
1996-09-23,7.592
1996-09-24,7.530
1996-09-25,7.533
1996-09-26,7.541
1996-09-27,7.540
1996-09-30,7.550
1996-10-01,7.529
1996-10-02,7.522
1996-10-03,7.533
1996-10-04,7.535
1996-10-07,7.531
1996-10-08,7.544
1996-10-09,7.576
1996-10-10,7.608
1996-10-11,7.643
1996-10-14,.
1996-10-15,7.750
1996-10-16,7.795
1996-10-17,7.772
1996-10-18,7.773
1996-10-21,7.739
1996-10-22,7.770
1996-10-23,7.855
1996-10-24,7.839
1996-10-25,7.960
1996-10-28,7.910
1996-10-29,7.920
1996-10-30,8.010
1996-10-31,8.045
1996-11-01,7.970
1996-11-04,7.925
1996-11-05,7.897
1996-11-06,7.9025
1996-11-07,7.958
1996-11-08,7.920
1996-11-11,.
1996-11-12,7.920
1996-11-13,7.925
1996-11-14,7.915
1996-11-15,7.950
1996-11-18,7.906
1996-11-19,7.900
1996-11-20,7.890
1996-11-21,7.887
1996-11-22,7.880
1996-11-25,7.915
1996-11-26,7.880
1996-11-27,7.890
1996-11-28,.
1996-11-29,7.895
1996-12-02,7.890
1996-12-03,7.880
1996-12-04,7.870
1996-12-05,7.890
1996-12-06,7.920
1996-12-09,7.905
1996-12-10,7.880
1996-12-11,7.900
1996-12-12,7.913
1996-12-13,7.920
1996-12-16,7.890
1996-12-17,7.880
1996-12-18,7.835
1996-12-19,7.870
1996-12-20,7.846
1996-12-23,7.840
1996-12-24,7.840
1996-12-25,.
1996-12-26,7.850
1996-12-27,7.855
1996-12-30,7.859
1996-12-31,7.881
1997-01-01,.
1997-01-02,7.905
1997-01-03,7.870
1997-01-06,7.855
1997-01-07,7.840
1997-01-08,7.820
1997-01-09,7.820
1997-01-10,7.860
1997-01-13,7.810
1997-01-14,7.804
1997-01-15,7.810
1997-01-16,7.820
1997-01-17,7.828
1997-01-20,.
1997-01-21,7.800
1997-01-22,7.799
1997-01-23,7.795
1997-01-24,7.825
1997-01-27,7.830
1997-01-28,7.8175
1997-01-29,7.8325
1997-01-30,7.845
1997-01-31,7.820
1997-02-03,7.817
1997-02-04,7.834
1997-02-05,7.815
1997-02-06,7.830
1997-02-07,7.805
1997-02-10,7.800
1997-02-11,7.795
1997-02-12,7.790
1997-02-13,7.794
1997-02-14,7.780
1997-02-17,.
1997-02-18,7.798
1997-02-19,7.789
1997-02-20,7.7425
1997-02-21,7.760
1997-02-24,7.750
1997-02-25,7.755
1997-02-26,7.787
1997-02-27,7.838
1997-02-28,7.965
1997-03-03,7.985
1997-03-04,7.972
1997-03-05,8.049
1997-03-06,8.014
1997-03-07,8.003
1997-03-10,7.9525
1997-03-11,7.977
1997-03-12,7.961
1997-03-13,7.997
1997-03-14,7.980
1997-03-17,7.990
1997-03-18,7.950
1997-03-19,7.920
1997-03-20,7.940
1997-03-21,7.915
1997-03-24,7.900
1997-03-25,7.892
1997-03-26,7.910
1997-03-27,7.913
1997-03-28,7.930
1997-03-31,7.930
1997-04-01,7.915
1997-04-02,7.930
1997-04-03,7.969
1997-04-04,7.952
1997-04-07,7.902
1997-04-08,7.887
1997-04-09,7.891
1997-04-10,7.9091
1997-04-11,7.923
1997-04-14,7.910
1997-04-15,7.881
1997-04-16,7.889
1997-04-17,7.888
1997-04-18,7.875
1997-04-21,7.872
1997-04-22,7.870
1997-04-23,7.879
1997-04-24,7.856
1997-04-25,7.890
1997-04-28,7.925
1997-04-29,7.971
1997-04-30,7.945
1997-05-01,7.945
1997-05-02,7.917
1997-05-05,7.910
1997-05-06,7.880
1997-05-07,7.924
1997-05-08,7.918
1997-05-09,7.9005
1997-05-12,7.925
1997-05-13,7.905
1997-05-14,7.894
1997-05-15,7.899
1997-05-16,7.895
1997-05-19,7.894
1997-05-20,7.885
1997-05-21,7.865
1997-05-22,7.870
1997-05-23,7.885
1997-05-26,.
1997-05-27,7.930
1997-05-28,7.910
1997-05-29,7.910
1997-05-30,7.917
1997-06-02,7.910
1997-06-03,7.914
1997-06-04,7.929
1997-06-05,7.947
1997-06-06,7.985
1997-06-09,7.987
1997-06-10,7.965
1997-06-11,7.973
1997-06-12,7.965
1997-06-13,7.965
1997-06-16,7.9575
1997-06-17,7.935
1997-06-18,7.915
1997-06-19,7.9114
1997-06-20,7.961
1997-06-23,7.975
1997-06-24,7.944
1997-06-25,7.948
1997-06-26,7.955
1997-06-27,7.951
1997-06-30,7.952
1997-07-01,7.930
1997-07-02,7.951
1997-07-03,7.953
1997-07-04,.
1997-07-07,7.907
1997-07-08,7.919
1997-07-09,7.898
1997-07-10,7.879
1997-07-11,7.852
1997-07-14,7.872
1997-07-15,7.887
1997-07-16,7.923
1997-07-17,7.859
1997-07-18,7.903
1997-07-21,7.886
1997-07-22,7.855
1997-07-23,7.837
1997-07-24,7.835
1997-07-25,7.774
1997-07-28,7.782
1997-07-29,7.799
1997-07-30,7.768
1997-07-31,7.825
1997-08-01,7.823
1997-08-04,7.826
1997-08-05,7.805
1997-08-06,7.780
1997-08-07,7.792
1997-08-08,7.830
1997-08-11,7.800
1997-08-12,7.780
1997-08-13,7.782
1997-08-14,7.770
1997-08-15,7.7625
1997-08-18,7.765
1997-08-19,7.760
1997-08-20,7.765
1997-08-21,7.760
1997-08-22,7.783
1997-08-25,7.760
1997-08-26,7.7575
1997-08-27,7.759
1997-08-28,7.7725
1997-08-29,7.785
1997-09-01,.
1997-09-02,7.778
1997-09-03,7.773
1997-09-04,7.789
1997-09-05,7.8075
1997-09-08,7.785
1997-09-09,7.780
1997-09-10,7.7775
1997-09-11,7.780
1997-09-12,7.7775
1997-09-15,7.7675
1997-09-16,7.767
1997-09-17,7.750
1997-09-18,7.765
1997-09-19,7.7525
1997-09-22,7.725
1997-09-23,7.770
1997-09-24,7.8225
1997-09-25,7.815
1997-09-26,7.825
1997-09-29,7.8175
1997-09-30,7.775
1997-10-01,7.7557
1997-10-02,7.7575
1997-10-03,7.754
1997-10-06,7.7625
1997-10-07,7.746
1997-10-08,7.7625
1997-10-09,7.770
1997-10-10,7.758
1997-10-13,.
1997-10-14,7.745
1997-10-15,7.742
1997-10-16,7.748
1997-10-17,7.745
1997-10-20,7.725
1997-10-21,7.7172
1997-10-22,7.724
1997-10-23,7.756
1997-10-24,7.840
1997-10-27,8.140
1997-10-28,8.350
1997-10-29,8.150
1997-10-30,8.300
1997-10-31,8.410
1997-11-03,8.230
1997-11-04,8.250
1997-11-05,8.180
1997-11-06,8.380
1997-11-07,8.380
1997-11-10,8.280
1997-11-11,.
1997-11-12,8.350
1997-11-13,8.380
1997-11-14,8.330
1997-11-17,8.250
1997-11-18,8.250
1997-11-19,8.285
1997-11-20,8.237
1997-11-21,8.192
1997-11-24,8.240
1997-11-25,8.244
1997-11-26,8.215
1997-11-27,.
1997-11-28,8.215
1997-12-01,8.190
1997-12-02,8.160
1997-12-03,8.132
1997-12-04,8.105
1997-12-05,8.150
1997-12-08,8.115
1997-12-09,8.109
1997-12-10,8.140
1997-12-11,8.210
1997-12-12,8.170
1997-12-15,8.140
1997-12-16,8.090
1997-12-17,8.081
1997-12-18,8.070
1997-12-19,8.127
1997-12-22,8.118
1997-12-23,8.130
1997-12-24,8.1925
1997-12-25,.
1997-12-26,8.145
1997-12-29,8.084
1997-12-30,8.067
1997-12-31,8.070
1998-01-01,.
1998-01-02,8.060
1998-01-05,8.042
1998-01-06,8.040
1998-01-07,8.065
1998-01-08,8.077
1998-01-09,8.090
1998-01-12,8.300
1998-01-13,8.170
1998-01-14,8.200
1998-01-15,8.300
1998-01-16,8.202
1998-01-19,.
1998-01-20,8.220
1998-01-21,8.280
1998-01-22,8.330
1998-01-23,8.300
1998-01-26,8.282
1998-01-27,8.270
1998-01-28,8.380
1998-01-29,8.480
1998-01-30,8.455
1998-02-02,8.447
1998-02-03,8.4325
1998-02-04,8.409
1998-02-05,8.422
1998-02-06,8.422
1998-02-09,8.452
1998-02-10,8.501
1998-02-11,8.457
1998-02-12,8.455
1998-02-13,8.470
1998-02-16,.
1998-02-17,8.472
1998-02-18,8.550
1998-02-19,8.545
1998-02-20,8.590
1998-02-23,8.630
1998-02-24,8.610
1998-02-25,8.583
1998-02-26,8.564
1998-02-27,8.5275
1998-03-02,8.497
1998-03-03,8.530
1998-03-04,8.587
1998-03-05,8.613
1998-03-06,8.6025
1998-03-09,8.624
1998-03-10,8.6275
1998-03-11,8.666
1998-03-12,8.575
1998-03-13,8.560
1998-03-16,8.587
1998-03-17,8.5925
1998-03-18,8.5925
1998-03-19,8.5675
1998-03-20,8.581
1998-03-23,8.535
1998-03-24,8.535
1998-03-25,8.525
1998-03-26,8.519
1998-03-27,8.525
1998-03-30,8.536
1998-03-31,8.520
1998-04-01,8.600
1998-04-02,8.521
1998-04-03,8.551
1998-04-06,8.521
1998-04-07,8.5325
1998-04-08,8.514
1998-04-09,8.497
1998-04-10,8.488
1998-04-13,8.515
1998-04-14,8.491
1998-04-15,8.4725
1998-04-16,8.503
1998-04-17,8.488
1998-04-20,8.476
1998-04-21,8.4575
1998-04-22,8.463
1998-04-23,8.467
1998-04-24,8.478
1998-04-27,8.515
1998-04-28,8.489
1998-04-29,8.505
1998-04-30,8.492
1998-05-01,8.495
1998-05-04,8.479
1998-05-05,8.475
1998-05-06,8.480
1998-05-07,8.501
1998-05-08,8.478
1998-05-11,8.470
1998-05-12,8.510
1998-05-13,8.515
1998-05-14,8.505
1998-05-15,8.520
1998-05-18,8.536
1998-05-19,8.580
1998-05-20,8.640
1998-05-21,8.635
1998-05-22,8.650
1998-05-25,.
1998-05-26,8.7273
1998-05-27,8.890
1998-05-28,8.785
1998-05-29,8.825
1998-06-01,8.908
1998-06-02,8.880
1998-06-03,8.795
1998-06-04,8.780
1998-06-05,8.769
1998-06-08,8.835
1998-06-09,8.828
1998-06-10,8.875
1998-06-11,8.985
1998-06-12,9.070
1998-06-15,9.040
1998-06-16,9.007
1998-06-17,8.890
1998-06-18,8.9091
1998-06-19,8.887
1998-06-22,8.915
1998-06-23,8.910
1998-06-24,8.940
1998-06-25,8.955
1998-06-26,9.047
1998-06-29,9.030
1998-06-30,8.985
1998-07-01,8.941
1998-07-02,8.982
1998-07-03,8.951
1998-07-06,8.975
1998-07-07,8.960
1998-07-08,8.920
1998-07-09,8.947
1998-07-10,8.957
1998-07-13,8.8995
1998-07-14,8.857
1998-07-15,8.855
1998-07-16,8.8475
1998-07-17,8.824
1998-07-20,8.795
1998-07-21,8.818
1998-07-22,8.874
1998-07-23,8.868
1998-07-24,8.878
1998-07-27,8.892
1998-07-28,8.892
1998-07-29,8.921
1998-07-30,8.904
1998-07-31,8.920
1998-08-03,8.962
1998-08-04,8.965
1998-08-05,9.007
1998-08-06,9.029
1998-08-07,9.025
1998-08-10,9.1375
1998-08-11,9.195
1998-08-12,9.185
1998-08-13,9.2225
1998-08-14,9.201
1998-08-17,9.3015
1998-08-18,9.240
1998-08-19,9.195
1998-08-20,9.310
1998-08-21,9.700
1998-08-24,9.665
1998-08-25,9.590
1998-08-26,9.860
1998-08-27,9.970
1998-08-28,10.050
1998-08-31,9.985
1998-09-01,9.990
1998-09-02,9.940
1998-09-03,10.120
1998-09-04,10.146
1998-09-07,.
1998-09-08,10.308
1998-09-09,10.370
1998-09-10,10.630
1998-09-11,10.530
1998-09-14,10.535
1998-09-15,10.210
1998-09-16,10.050
